Country,Date,Sex,CumEpi,CumExc,CumPos,Exposure
Israel,2020-03-01,f,0,8.367431972364244,25.29532800492389,83194.48233404693
Israel,2020-03-08,f,36.21160318281255,31.93795771953675,81.30630604630396,166413.0826913096
Israel,2020-03-15,f,92.80948480647362,67.03614290414895,159.45677456957353,249655.7986076547
Israel,2020-03-22,f,92.80948480647362,75.94006146930764,179.99858760151236,332922.6278455456
Israel,2020-03-29,f,141.04658011044413,112.87735192340338,234.37886825537532,416213.56839404226
Israel,2020-04-05,f,194.52496616152115,186.02264152577504,316.42523182327466,499528.6184688014
Israel,2020-04-12,f,194.52496616152115,212.49630688098333,357.6849296508059,582867.7765120761
Israel,2020-04-19,f,265.310378227576,261.36448431348754,442.16406548703713,666231.0411927167
Israel,2020-04-26,f,299.09203956133143,288.6401998465527,490.5478307114217,749618.4114061694
Israel,2020-05-03,f,299.09203956133143,281.28545834747763,501.12751368883835,833029.8862744778
Israel,2020-05-10,f,299.09203956133143,307.21411474236635,537.7542407486333,916465.4651462815
Israel,2020-05-17,f,299.09203956133143,320.2953462715733,564.7817506585776,999925.1475968172
Israel,2020-05-24,f,352.447189996749,379.35755177800837,634.6784823247896,1083408.9334279182
Israel,2020-05-31,f,363.68736058340335,399.1925196642273,669.3776075229408,1166916.822668014
Israel,2020-06-07,f,363.68736058340335,384.5597278652148,677.6447321503293,1250448.8155721317
Israel,2020-06-14,f,363.68736058340335,371.1906644639132,686.9749418113612,1334004.912621894
Israel,2020-06-21,f,363.68736058340335,359.79308419340884,701.1305741854803,1417585.1145255205
Israel,2020-06-28,f,363.68736058340335,344.0551421838247,706.1102206902409,1501189.4222178282
Israel,2020-07-05,f,363.68736058340335,325.6493777895216,716.4817083346461,1584817.8362417575
Israel,2020-07-12,f,363.68736058340335,331.23653991052106,741.8276858598912,1668470.356597308
Israel,2020-07-19,f,373.0817788943896,336.4692301957516,760.1169916239237,1752146.98328448
Israel,2020-07-26,f,373.0817788943896,344.9953977536361,783.1656055982828,1835847.7163032733
Israel,2020-08-02,f,432.9932044873723,436.46171713150454,877.2564151657851,1919572.555653688
Israel,2020-08-09,f,492.5774505090193,467.5168858506664,951.3830753928896,2003321.5013357243
Israel,2020-08-16,f,592.5060669303709,564.8148810238292,1071.547438918408,2087094.553349382
Israel,2020-08-23,f,608.6439444911455,610.0182144590069,1129.3105016592979,2170891.711694661
Israel,2020-08-30,f,663.5577334150995,662.8012223162281,1196.8099836541778,2254712.9763715616
Israel,2020-09-06,f,663.5577334150995,685.8534189457978,1229.666814398195,2338558.3473800835
Israel,2020-09-13,f,695.0977098687986,725.8829350902948,1279.8101943903355,2422427.8247202267
Israel,2020-09-20,f,791.9492567088835,830.6200482677701,1389.3928608510053,2506321.408391991
Israel,2020-09-27,f,858.958011738374,910.8207980034435,1481.3329964914392,2590239.0983953774
Israel,2020-10-04,f,914.5676774781168,985.2706608709699,1569.4827619323323,2674180.894730385
Israel,2020-10-11,f,1034.2010764276429,1109.7882404323177,1698.444967550347,2758146.797397014
Israel,2020-10-18,f,1092.1494271928034,1185.2289057444195,1791.6527297656019,2842136.8063952643
Israel,2020-10-25,f,1165.397935088624,1280.4882900338082,1888.4256384715732,2926150.921725136
Israel,2020-11-01,f,1165.397935088624,1304.5055396550897,1930.5826518083359,3010189.1433866294
Israel,2020-11-08,f,1218.4993977372,1341.2661841041713,1991.3041608256467,3094251.4713797444
Israel,2020-11-15,f,1218.4993977372,1326.8044825002155,2006.991949399977,3178337.90570448
Israel,2020-11-22,f,1218.4993977372,1338.2050926162788,2032.6826293664785,3262448.4463608377
Israel,2020-11-29,f,1230.0658927821228,1386.603907281835,2091.4260812001994,3346583.0933488165
Israel,2020-12-06,f,1242.3828234860114,1427.1879116455655,2142.3694870189956,3430741.846668417
Israel,2020-12-13,f,1242.3828234860114,1470.1939347347293,2198.1616969167753,3514924.7063196385
Israel,2020-12-20,f,1242.3828234860114,1496.9062005675653,2230.3499023323047,3599131.6723024817
Israel,2020-12-27,f,1301.5839788969492,1551.6526273289417,2300.3920119147137,3683362.744616946
Israel,2021-01-03,f,1399.4231737671935,1634.7998761655724,2422.5413677085517,3767617.9232630325
Israel,2021-01-10,f,1522.1209484265185,1750.7472111088298,2567.3754604045,3851897.20824074
Israel,2021-01-17,f,1640.6154576337149,1899.9192944843605,2720.9127904862235,3936200.5995500684
Israel,2021-01-24,f,1818.9955960990396,2081.758103100582,2907.2729577453156,4020528.097191019
Israel,2021-01-31,f,1975.403254849966,2277.7142043633476,3103.590511800004,4104879.7011635904
Israel,2021-02-07,f,2077.6818064746703,2393.2376733204164,3225.4635392040836,4189255.4114677836
Israel,2021-02-14,f,2153.894900926534,2495.768957420957,3331.7719080763336,4273655.228103599
Israel,2021-02-21,f,2194.4135965564515,2557.7300027912725,3397.088450449561,4358079.151071034
Israel,2020-03-01,m,0,13.771189924867148,21.279274465418418,82404.56362137944
Israel,2020-03-08,m,0,44.448539630076986,56.77371260484676,164835.25297560083
Israel,2020-03-15,m,0,101.30515594338398,118.59577119957089,247292.06508573663
Israel,2020-03-22,m,79.81382572897131,118.57488112756829,215.71124866539103,329774.99713313655
Israel,2020-03-29,m,129.7375264149675,202.44920891518473,310.96268362402196,412284.0464574278
Israel,2020-04-05,m,231.92792648514293,304.07524610856746,431.57199088934954,494819.2105565148
Israel,2020-04-12,m,231.92792648514293,306.5546912430099,453.9796042453726,577380.4870865794
Israel,2020-04-19,m,240.60089230561428,340.94376570459264,497.9012517064131,659967.8738620811
Israel,2020-04-26,m,240.60089230561428,378.25400416732583,542.9377262025087,742581.3688557564
Israel,2020-05-03,m,240.60089230561428,386.45379115576765,571.4921400978893,825220.9701986193
Israel,2020-05-10,m,248.4113060984133,394.47051909793583,604.1223477189129,907886.6761799613
Israel,2020-05-17,m,248.4113060984133,411.19323991899086,627.3006496715159,990578.485247351
Israel,2020-05-24,m,316.8660275549208,501.4756860558168,722.9838124793544,1073296.3960066347
Israel,2020-05-31,m,316.8660275549208,510.1395464364417,742.7343389314807,1156040.407221936
Israel,2020-06-07,m,316.8660275549208,530.9778969925638,764.6341372089171,1238810.5178156553
Israel,2020-06-14,m,316.8660275549208,529.7587021636562,787.8366637629086,1321606.7268684716
Israel,2020-06-21,m,316.8660275549208,535.2283222028302,809.3937110393811,1404429.0336193403
Israel,2020-06-28,m,316.8660275549208,538.1149796695564,827.1160377263313,1487277.437465494
Israel,2020-07-05,m,316.8660275549208,544.1321698239636,846.8081823668159,1570151.9381583089
Israel,2020-07-12,m,350.6060651286329,586.981987774308,914.3322079031913,1653052.5356977845
Israel,2020-07-19,m,350.6060651286329,629.3583545723786,965.8743755734395,1735979.2300839215
Israel,2020-07-26,m,350.6060651286329,649.9501819604502,994.0514129512525,1818932.021316719
Israel,2020-08-02,m,375.75154917576873,711.4444893613766,1063.275135717217,1901910.9093961779
Israel,2020-08-09,m,375.75154917576873,753.52949909901,1112.5448270628137,1984915.8943222975
Israel,2020-08-16,m,375.75154917576873,810.8977378357351,1176.0187912729182,2067946.976095078
Israel,2020-08-23,m,429.2689864046058,886.2491709924079,1258.8048205451526,2151004.1547145196
Israel,2020-08-30,m,429.2689864046058,942.2943925069745,1324.1245480170237,2234087.4301806223
Israel,2020-09-06,m,444.6830821297805,1018.7578847853345,1405.6767792936685,2317196.802493386
Israel,2020-09-13,m,529.51457978996,1141.3813532711438,1533.8585405660474,2400332.2716528103
Israel,2020-09-20,m,610.6951927897436,1236.9271269803505,1635.6780758395705,2483493.8376588956
Israel,2020-09-27,m,748.4640134711437,1372.1816010125833,1781.2437281371365,2566681.500511642
Israel,2020-10-04,m,884.7529595859758,1493.9586800290203,1923.2958012401305,2649895.2602110496
Israel,2020-10-11,m,1023.8884247443331,1661.1031637277438,2091.879620670998,2733135.116757118
Israel,2020-10-18,m,1204.786317181806,1840.4939974079766,2283.087419432913,2816401.0701498473
Israel,2020-10-25,m,1277.3259617525869,1960.0472939454382,2406.802519337492,2899693.120389238
